,GenCo1,GenCo2,GenCo3,GenCo4,GenCo5,GenCo6,GenCo7,GenCo8,GenCo9,GenCo10,GenCo11,GenCo12,GenCo13,GenCo14,GenCo15,GenCo16,GenCo17,GenCo18,GenCo19,GenCo20,GenCo21,GenCo22,GenCo23,GenCo24,GenCo25,GenCo26,GenCo27,GenCo28,GenCo29,GenCo30,GenCo31,GenCo32,GenCo33,GenCo34,GenCo35,GenCo36,GenCo37,GenCo38,GenCo39,GenCo40,GenCo41,GenCo42,GenCo43,GenCo44,GenCo45,GenCo46,GenCo47,GenCo48,GenCo49,GenCo50,GenCo51,GenCo52,GenCo53,GenCo54,GenCo55,GenCo56,GenCo57,GenCo58,GenCo59,GenCo60,GenCo61,GenCo62,GenCo63,GenCo64,GenCo65,GenCo66,GenCo67,GenCo68,GenCo69,GenCo70,GenCo71,GenCo72,GenCo73,GenCo74,GenCo75,GenCo76,GenCo77,GenCo78,GenCo79,GenCo80,GenCo81,GenCo82
5237,0,0,417,0,1234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.25,743.25,0,629.5,0,200,604.5,548,0,0,0,0,0,0,0,0,362.5,0,0,723,0,0,1797,0,0,0,120,0,0,0,0,0,0,183.75,0,0,0,0,0,0,0,0,0,0,1380,0,408,927.68319,0,0,0,0,0,0,0,0,299.72417,0,850
5238,0,0,819,0,1234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.25,341.25,0,227.5,0,602,810,950,0,0,0,0,0,0,0,0,362.5,0,0,723,0,0,2199,0,0,0,120,0,0,0,0,0,0,183.75,0,0,0,0,0,0,0,0,0,0,1380,0,408,713,0,0,0,0,0,0,0,0,701.72417,0,448
5239,0,0,417,0,1234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.25,341.25,0,227.5,0,800,810,950,0,0,0,0,0,0,0,0,764.5,0,0,582.75,0,0,1960.7285,0,0,0,120,0,0,0,0,0,0,183.75,0,0,0,0,0,0,0,0,0,0,1380,0,408,1115,0,0,0,0,0,0,0,0,299.72417,0,313
5240,0,0,819,0,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.25,341.25,0,0,0,398,810,648.10243,0,0,0,0,0,0,0,0,646,0,0,180.75,0,0,1558.7285,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,0,408,1517,300,0,0,0,0,0,0,0,482.91352,0,313
5241,0,0,606.75,0,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743.25,0,0,0,800,408,246.10243,0,0,0,0,0,0,0,0,1048,0,0,0,0,0,1679.0735,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747,0,408,1517,0,0,0,0,0,0,0,0,178.75,0,313
5242,0,0,204.75,0,308.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341.25,0,0,0,398,810,639.5,0,224.5,0,0,0,0,0,0,1450,0,0,0,0,0,1277.0735,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,0,408,1517,0,0,0,0,0,0,0,0,178.75,0,362.03546
5243,0,0,0,0,308.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341.25,0,0,0,200,810,237.5,0,626.5,0,0,0,0,0,0,1450,0,0,0,0,0,951.75,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,1517,300,0,0,0,0,0,0,0,0,0,764.03546
5244,0,0,0,0,710.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341.25,0,0,0,602,408,0,0,295.64273,0,0,0,0,0,0,1048,0,0,0,0,0,1353.75,443,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,1115,0,0,0,0,0,0,0,0,0,0,715
5245,0,0,0,49.5,308.5,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,341.25,0,0,0,800,229.74871,0,0,224.5,0,0,0,0,0,0,646,0,0,0,0,0,951.75,845,0,0,120,0,0,0,0,0,0,0,0,0,0,188.75,295,0,0,0,0,333,0,0,408,1183.25,0,0,0,0,0,0,0,0,0,0,313
5246,0,0,0,0,308.5,0,0,0,0,0,0,0,0,0,0,0,0,702,0,0,0,0,0,0,561,0,0,0,800,363.27397,0,0,224.5,0,0,0,0,0,0,362.5,0,0,0,0,0,549.75,443,0,0,120,0,0,0,25,0,0,0,0,0,0,590.75,697,0,0,0,0,735,0,0,408,781.25,300,0,0,0,0,0,0,201.25,0,0,313
5247,130,0,0,0,308.5,0,0,0,0,0,0,0,0,0,0,0,0,1104,0,0,0,0,0,0,963,0,227.5,101.75,800,765.27397,0,0,626.5,0,0,0,122.5,0,0,646,0,0,0,0,0,549.75,493.05811,0,0,120,0,0,0,0,25,5.04,183.75,0,0,0,188.75,1099,0,0,0,0,333,0,0,408,379.25,600,0,0,0,0,0,15,603.25,0,0,313
